Date,A/C Type,Location,Fatalities,Registration,detail.url
"Apr 27, 2014",Piper PA-31-350 Navajo Chieftain,"Deán Funes, Córdoba",0,LV-JGN,http://www.baaa-acro.com/crash/crash-piper-pa-31p-navajo-dean-funes
"Apr 26, 2014",Cessna 525 CJ3,"Spruce Creek, Florida",0,N300ET,http://www.baaa-acro.com/crash/crash-cessna-525b-cj3-spruce-creek
"Apr 20, 2014",Comp Air CA-8,"Jämijärvi, Satakunta",8,OH-XDZ,http://www.baaa-acro.com/crash/crash-comp-air-ca-8-jamijarvi-8-killed
"Apr 20, 2014",Fokker 50,"Guriceel, Galgaduud (جلجدود‎)",0,5Y-VVJ,http://www.baaa-acro.com/crash/crash-fokker-50-guriceel
"Apr 19, 2014",BAe 125,"Saltillo, Coahuila",8,XA-UKR,http://www.baaa-acro.com/crash/crash-bae-125-700a-saltillo-8-killed
"Apr 9, 2014",Quest Kodiak 100,"Doyo Baru, Special Region of Papua",2,PK-SDF,http://www.baaa-acro.com/crash/crash-quest-kodiak-100-doyo-baru-2-killed
"Apr 8, 2014",Cessna 208B Grand Caravan,"Bethel, Alaska",2,N126AR,http://www.baaa-acro.com/crash/crash-cessna-208b-grand-caravan-near-bethel-2-killed
"Mar 28, 2014",Lockheed C-130 Hercules,"Gwalior, Madhya Pradesh",5,KC-3803,http://www.baaa-acro.com/crash/crash-lockheed-c-130j-hercules-near-gwalior-5-killed
"Mar 27, 2014",Beechcraft 200 Super King Air,"Chandigarh, Chandigarh",0,VT-HRA,http://www.baaa-acro.com/crash/crash-beechcraft-super-king-air-b200-chandigarh
"Mar 22, 2014",Socata TBM-700,"Montrose, Colorado",5,N702H,http://www.baaa-acro.com/crash/crash-socata-tbm-700-ridgway-reservoir-5-killed
"Mar 14, 2014",Cessna 402,"Stuart-Witham Field, Florida",0,N419AR,http://www.baaa-acro.com/crash/crash-cessna-402b-stuart
"Mar 12, 2014",Beechcraft 90 King Air,"Villavicencio, Meta",5,HK-4921,http://www.baaa-acro.com/crash/crash-beechcraft-king-air-c90-villavicencio-5-killed
"Mar 8, 2014",Boeing 777-200,"Indian Ocean, All World",239,9M-MRO,http://www.baaa-acro.com/crash/crash-boeing-777-2h6er-indian-ocean-239-killed
"Mar 3, 2014",Dassault Falcon 20,"Kish Island, Hormozgān",4,EP-FIC,http://www.baaa-acro.com/crash/crash-dassault-falcon-20e-kish-island-4-killed
"Mar 3, 2014",Beechcraft 90 King Air,"Guasdualito, Apure",0,-,http://www.baaa-acro.com/crash/crash-beechcraft-king-air-90-state-apure
"Mar 2, 2014",Antonov AN-26,"Masila, Hadhramaut (حضرموت)",0,1177,http://www.baaa-acro.com/crash/crash-antonov-26-hadhramaut
"Feb 27, 2014",Partenavia P.68,"Panda Ranch (Molokai), Hawaii",0,N947MZ,http://www.baaa-acro.com/crash/crash-partenavia-p68-observer-panda-ranch
"Feb 26, 2014",Piper PA-31-350 Navajo Chieftain,"Lanai, Hawaii",3,N483VA,http://www.baaa-acro.com/crash/crash-piper-pa-31-350-navajo-chieftain-lanai-3-killed
"Feb 25, 2014",Embraer EMB-120 Brasília,"Lukapa, Lunda Norte",0,D2-FFZ,http://www.baaa-acro.com/crash/crash-embraer-emb-120rt-brasilia-lukapa
"Feb 21, 2014",Antonov AN-26,"Grombalia, Nabeul Governorate (ولاية نابل‎)",11,5A-DOW,http://www.baaa-acro.com/crash/crash-antonov-26-grombalia-11-killed
"Feb 19, 2014",Beechcraft 100 King Air,"Pearland, Texas",1,N811BL,http://www.baaa-acro.com/crash/crash-beechcraft-king-air-b100-pearland-1-killed
"Feb 17, 2014",Avro 748,"Rubkona, Unity (الوحدة)",1,5Y-HAJ,http://www.baaa-acro.com/crash/crash-avro-748-371-2b-rubkona-1-killed
"Feb 16, 2014",De Havilland DHC-6 Twin Otter,"Arghakhanchi, Lumbini",18,9N-ABB,http://www.baaa-acro.com/crash/crash-de-havilland-dhc-6-twin-otter-300-arghakhachi-18-killed
"Feb 15, 2014",Cessna 501 Citation I,"Stella Maris, Long Island",0,C-GKPC,http://www.baaa-acro.com/crash/crash-cessna-501-citation-isp-stella-maris
"Feb 11, 2014",Lockheed C-130 Hercules,"Aïn Kercha, Oum el-Bouaghi",76,7T-WHM,http://www.baaa-acro.com/crash/crash-lockheed-c-130h-30-hercules-ain-kercha-76-killed
"Feb 4, 2014",PAC Cresco 08-600,"Otane, Hawke's Bay Regional Council",0,ZK-LTE,http://www.baaa-acro.com/crash/crash-pac-cresco-08-600-otane
"Feb 3, 2014",Beechcraft 90 King Air,"Lanseria, Gauteng",3,ZS-CLT,http://www.baaa-acro.com/crash/crash-beechcraft-king-air-c90gtx-lanseria-3-killed
"Feb 3, 2014",Rockwell Gulfstream 690C Jetprop 840,"Bellevue, Tennessee",4,N840V,http://www.baaa-acro.com/crash/crash-rockwell-gulfstream-jetprop-840-bellevue-4-killed
"Jan 29, 2014",De Havilland Dash-8-200,"Ilulissat, Qaasuitsup Kommunia",0,OY-GRI,http://www.baaa-acro.com/crash/crash-de-havilland-dash-8-202q-ilulissat
"Jan 28, 2014",Saab 2000,"Paris-Roissy-CDG, Val-d'Oise",0,HB-IZG,http://www.baaa-acro.com/crash/crash-saab-2000-paris-roissy-cdg
"Jan 27, 2014",Beechcraft 90 King Air,"Columbia, California",0,N350WA,http://www.baaa-acro.com/crash/crash-beechcraft-king-air-c90-columbia
"Jan 26, 2014",Boeing 737-300,"Honiara, All Solomon Islands",0,ZK-TLC,http://www.baaa-acro.com/crash/crash-boeing-737-3b7sf-honiara
"Jan 20, 2014",Britten-Norman Islander,"Petreasa, Alba",2,YR-BNP,http://www.baaa-acro.com/crash/crash-britten-norman-bn-2a-27-islander-petreasa-2-killed
"Jan 20, 2014",PZL-Mielec AN-28,"Addis Ababa, Addis Ababa City District",0,-,http://www.baaa-acro.com/crash/crash-pzl-mielec-28-addis-ababa
"Jan 19, 2014",Piper PA-31-350 Navajo Chieftain,"Tual, Maluku",4,PK-IWT,http://www.baaa-acro.com/crash/crash-piper-pa-31-350-navajo-chieftain-tual-4-killed
"Jan 18, 2014",Cessna 208B Grand Caravan,"Olive Creek, Cuyuni-Mazaruni",2,8R-GHS,http://www.baaa-acro.com/crash/crash-cessna-208b-grand-caravan-olive-creek-2-killed
"Jan 18, 2014",Douglas DC-9,"Saltillo, Coahuila",0,XA-UQM,http://www.baaa-acro.com/crash/crash-douglas-dc-9-33cf-saltillo
"Jan 11, 2014",Cessna 501 Citation I,"Trier-Föhren, Rhineland-Palatinate",4,N452TS,http://www.baaa-acro.com/crash/crash-cessna-501-citation-isp-trier-4-killed
"Jan 9, 2014",Beechcraft 300 Super King Air,"Afghanistan, All Afghanistan",3,N195AE,http://www.baaa-acro.com/crash/crash-beechcraft-super-king-air-300-afghanistan-3-killed
"Jan 6, 2014",GippsAero GA8 Airvan,"Cayenne, All French Guyana",0,F-ORPH,http://www.baaa-acro.com/crash/crash-gippsland-ga-8-airvan-cayenne
"Jan 5, 2014",Canadair CL-601 Challenger,"Aspen, Colorado",1,N115WF,http://www.baaa-acro.com/crash/crash-canadair-cl-601-3r-challenger-aspen-1-killed
